table,column,type,definition,notes,owner
fact_appointment,specialty_id,fk,Foreign key to dim_specialty.,"Use for specialty-level scheduling KPIs: no-show rate, cancellation rate, average days out.",Clinical Operations
fact_appointment,scheduled_days_out,measure,Number of days between booking_date and appointment_date. Measures how far in advance the appointment was scheduled.,"Key access metric. High values indicate capacity constraints. Industry benchmark for new patient appointments varies by specialty: primary care 7-14 days, specialty 14-30 days, surgical subspecialties up to 60 days.",Clinical Operations
fact_appointment,no_show_flag,flag,1 = patient did not attend and did not cancel in advance. 0 = attended or cancelled.,Mutually exclusive with cancel_flag. No-show rate = SUM(no_show_flag) / COUNT(*). Industry benchmark is 5-8% for specialty care. Rates above 10% indicate a systemic access or reminder process issue.,Clinical Operations
fact_appointment,cancel_flag,flag,1 = appointment was cancelled in advance by patient or practice. 0 = not cancelled.,Cancellations differ from no-shows -- they allow slot recovery if enough notice is given. High cancellation rates combined with long scheduled_days_out suggests patients are booking too far out and circumstances change.,Clinical Operations
fact_appointment,new_patient_flag,flag,1 = appointment occurred within 30 days of the patient's first_visit_date in dim_patient. Approximates a new patient appointment.,Derived approximation. Patients transferred from another provider appear as new patients. True new-to-practice identification requires Epic registration data not in this dataset.,Clinical Operations
fact_appointment,appointment_type,dimension,"Category of appointment: New Patient, Follow-Up, Procedure, Telehealth, Annual Wellness.",New Patient appointments are the primary driver of practice growth. Track new patient volume trend separately from follow-up volume to understand whether the practice is growing its patient base.,Clinical Operations
fact_appointment,booking_date,date,Date the appointment was scheduled by the patient or staff.,Used with appointment_date to calculate scheduled_days_out. Can also be used to analyze booking patterns -- how far in advance patients book by specialty.,Clinical Operations
fact_appointment,status,dimension,"Final appointment status: Completed, No Show, Cancelled.",Derived from no_show_flag and cancel_flag. Completed = both flags are 0.,Clinical Operations
fact_claim_month,claims,measure,Count of claims submitted in the month for this payer/location combination.,One claim per encounter. Use with denied_claims in fact_denial_month to calculate denial rate.,Revenue Cycle
fact_claim_month,paid_amount_total,measure,"Total cash collected for claims submitted in the given month. Net revenue after contractual adjustments, denials, and patient collections.",Correct field for revenue analysis. Do not use charge_amount as a revenue metric -- it reflects gross charges before adjustments.,Revenue Cycle
fact_claim_month,allowed_amount,measure,Amount the payer contractually agrees to pay before denials and patient responsibility.,Compare allowed_amount to paid_amount_total to assess collection efficiency. Gap represents uncollected patient responsibility and write-offs.,Revenue Cycle
fact_claim_month,net_allowed_after_denial,measure,Allowed amount minus the portion denied by the payer.,Represents the maximum collectible amount after denial adjudication. Gap between this and paid_amount_total is uncollected patient responsibility and write-offs.,Revenue Cycle
fact_denial_month,denied_claims,measure,Count of claims denied by the payer in the given month.,Denial rate = denied_claims / claims. Industry benchmark is under 5% for most payers. Medicaid typically runs 7-10%. Rates above 10% for any payer warrant investigation.,Revenue Cycle
fact_denial_month,denied_amount,measure,Dollar value of claims denied by the payer.,More actionable than denied_claims count when prioritizing denial recovery work. Focus recovery efforts on high-dollar denial reasons first.,Revenue Cycle
fact_denial_month,denial_reason_id,fk,Foreign key to dim_denial_reason. The most frequent denial reason code for this month/payer/location group.,"Represents the dominant denial reason at the aggregate level -- not every denied claim in the group had this reason. Join to dim_denial_reason for the description. For claim-level denial reason detail, row-level fact_denial data would be required.",Revenue Cycle
fact_ar_month,avg_ar_days,measure,Weighted average number of days claims have been outstanding in accounts receivable at month end.,Industry benchmark for specialty practices is 30-45 days. Above 50 days indicates collection or billing process issues. Compare by payer -- government payers typically pay slower than commercial.,Revenue Cycle
fact_ar_month,ar_91_plus,measure,Dollar value of accounts receivable outstanding more than 90 days at month end.,AR over 90 days is at high risk of becoming uncollectable. Best practice is under 15% of total AR in the 90+ bucket. Medicaid and Self Pay typically dominate this bucket.,Revenue Cycle
fact_ar_month,open_ar_amount,measure,Total outstanding accounts receivable balance at month end for this payer/location.,Sum of ar_0_30 + ar_31_60 + ar_61_90 + ar_91_plus. Use for total AR trend analysis.,Revenue Cycle
dim_patient,first_visit_date,date,Date of the patient's earliest encounter in the dataset. Used to identify new patients.,Derived from the minimum service_date in fact_encounter. Patients whose first visit predates 2022 will not appear as new patients -- the dataset only covers 2022-2024.,Clinical Operations
dim_patient,age_band,dimension,"Patient age group: 0-17, 18-34, 35-49, 50-64, 65-74, 75+.",Use for demographic mix analysis. The 65-74 and 75+ bands drive higher Medicare payer mix. Stable attribute -- does not change over the dataset period.,Clinical Operations
dim_patient,primary_payer_id,fk,Foreign key to dim_payer. The most frequently used payer across all encounters for this patient.,Derived field. Useful for patient-level payer mix analysis without aggregating fact_encounter.,Revenue Cycle
dim_provider,fte,measure,Full Time Equivalent. 1.0 = full time. 0.5 = half time. Used to normalize productivity metrics.,"Always normalize wRVU by FTE when comparing provider productivity. A 0.5 FTE provider with 2,000 wRVU is more productive than a 1.0 FTE with 3,500 wRVU on a per-FTE basis.",Clinical Operations
dim_provider,primary_location_id,fk,Foreign key to dim_location. The clinic where this provider is primarily based.,Providers may see patients at other locations (cross-coverage). Use fact_encounter.location_id for the actual encounter location.,Clinical Operations
dim_provider,primary_location_name,dimension,Display name of the provider's primary clinic location. Denormalized from dim_location for convenience.,Matches location_name in dim_location. Included to avoid a join for simple provider-location lookups. Always consistent with primary_location_id.,Clinical Operations
dim_provider,tenure_bucket,dimension,"Provider tenure grouping based on hire_date: 0 to 2 Years, 3 to 5 Years, 6 to 10 Years, 10 plus Years.",Use for retention analysis and productivity benchmarking by tenure cohort. Newer providers typically have lower wRVU as they build their panel.,Clinical Operations
dim_payer,payer_category,dimension,"High-level payer classification: Commercial, Medicare, Medicaid, Government, Self Pay, Other.",Use payer_category for payer mix analysis. Use payer_name for contract-specific analysis. Self Pay and Charity have significantly lower collection rates than Commercial or Medicare.,Revenue Cycle
dim_payer,allowed_multiplier,measure,"Contractual discount rate applied to gross charges to derive allowed amount. Commercial = 1.0, Medicare = 0.68, Medicaid = 0.55.",Synthetic rates approximating real-world payer contracts. Lower multiplier = lower reimbursement relative to charges. Medicaid has the lowest reimbursement in this dataset.,Revenue Cycle
dim_referral_destination,competitor_flag,flag,"1 = destination organization is a direct competitor to the physician group. 0 = non-competitive (hospital, subspecialty not offered internally, etc.).",Referrals to competitors (competitor_flag=1) are the highest-priority leakage to address. Referrals to non-competitors may be clinically appropriate and not recoverable.,Revenue Cycle
dim_location,region,dimension,"Geographic region of the clinic: Central, West, East, South, North.",Central = inner Portland. West = Beaverton/Hillsboro. East = Gresham/Happy Valley. South = Tualatin/Lake Oswego/Oregon City. North = Vancouver WA.,Clinical Operations
dim_location,is_hospital_based,flag,1 = clinic is affiliated with or located within a hospital facility. 0 = freestanding physician office.,Hospital-based locations bill under facility fees in addition to professional fees. Affects revenue cycle workflow and payer contract terms.,Revenue Cycle
dim_location,clinic_type,dimension,"Type of clinical facility: Medical Office, Surgery Center, Imaging Center, Infusion Center.",Clinic type affects the encounter mix seen at each location. Surgery Centers have higher procedure and surgery encounter types. Imaging Centers are dominated by imaging encounter types.,Clinical Operations
dim_denial_reason,denial_reason,dimension,Plain English description of the denial reason code.,"Common high-dollar reasons include Auth Required, Medical Necessity, and Coding. Timely Filing denials are fully preventable through process improvement. Join from fact_denial_month.denial_reason_id.",Revenue Cycle
dim_specialty,specialty_name,dimension,"Clinical specialty name (e.g., Cardiology, Orthopedics, Family Medicine).",31 specialties in this dataset. Use specialty_id as the join key. Cardiology has the highest referral leakage rate and revenue at risk in this dataset.,Clinical Operations
